StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,3,Atkinson,I) (Rep,Dick Perryman,Absentee by Mail Votes,224
13,3,Atkinson,I) (Rep,Dick Perryman,Advanced Voting Votes,1495
13,3,Atkinson,I) (Rep,Dick Perryman,Election Day Votes,789
13,3,Atkinson,I) (Rep,Dick Perryman,Provisional Votes,1
13,3,Atkinson,I) (Rep,Dick Perryman,TOTAL VOTES,2509
13,19,Berrien,I) (Rep,Dick Perryman,Absentee by Mail Votes,943
13,19,Berrien,I) (Rep,Dick Perryman,Advanced Voting Votes,4049
13,19,Berrien,I) (Rep,Dick Perryman,Election Day Votes,2012
13,19,Berrien,I) (Rep,Dick Perryman,Provisional Votes,9
13,19,Berrien,I) (Rep,Dick Perryman,TOTAL VOTES,7013
13,65,Clinch,I) (Rep,Dick Perryman,Absentee by Mail Votes,258
13,65,Clinch,I) (Rep,Dick Perryman,Advanced Voting Votes,1342
13,65,Clinch,I) (Rep,Dick Perryman,Election Day Votes,694
13,65,Clinch,I) (Rep,Dick Perryman,Provisional Votes,1
13,65,Clinch,I) (Rep,Dick Perryman,TOTAL VOTES,2295
13,75,Cook,I) (Rep,Dick Perryman,Absentee by Mail Votes,782
13,75,Cook,I) (Rep,Dick Perryman,Advanced Voting Votes,3845
13,75,Cook,I) (Rep,Dick Perryman,Election Day Votes,1470
13,75,Cook,I) (Rep,Dick Perryman,Provisional Votes,0
13,75,Cook,I) (Rep,Dick Perryman,TOTAL VOTES,6097
13,173,Lanier,I) (Rep,Dick Perryman,Absentee by Mail Votes,395
13,173,Lanier,I) (Rep,Dick Perryman,Advanced Voting Votes,2026
13,173,Lanier,I) (Rep,Dick Perryman,Election Day Votes,612
13,173,Lanier,I) (Rep,Dick Perryman,Provisional Votes,0
13,173,Lanier,I) (Rep,Dick Perryman,TOTAL VOTES,3033
