StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,111,Fannin,I) (Rep,B. Alison Sosebee,Absentee by Mail Votes,2696
13,111,Fannin,I) (Rep,B. Alison Sosebee,Advanced Voting Votes,6132
13,111,Fannin,I) (Rep,B. Alison Sosebee,Election Day Votes,4239
13,111,Fannin,I) (Rep,B. Alison Sosebee,Provisional Votes,20
13,111,Fannin,I) (Rep,B. Alison Sosebee,TOTAL VOTES,13087
13,123,Gilmer,I) (Rep,B. Alison Sosebee,Absentee by Mail Votes,2605
13,123,Gilmer,I) (Rep,B. Alison Sosebee,Advanced Voting Votes,7256
13,123,Gilmer,I) (Rep,B. Alison Sosebee,Election Day Votes,4464
13,123,Gilmer,I) (Rep,B. Alison Sosebee,Provisional Votes,11
13,123,Gilmer,I) (Rep,B. Alison Sosebee,TOTAL VOTES,14336
13,227,Pickens,I) (Rep,B. Alison Sosebee,Absentee by Mail Votes,2159
13,227,Pickens,I) (Rep,B. Alison Sosebee,Advanced Voting Votes,6647
13,227,Pickens,I) (Rep,B. Alison Sosebee,Election Day Votes,6160
13,227,Pickens,I) (Rep,B. Alison Sosebee,Provisional Votes,7
13,227,Pickens,I) (Rep,B. Alison Sosebee,TOTAL VOTES,14973
