StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,33,Burke,Dem,Jared T. Williams,Absentee by Mail Votes,1760
13,33,Burke,Dem,Jared T. Williams,Advanced Voting Votes,1790
13,33,Burke,Dem,Jared T. Williams,Election Day Votes,1436
13,33,Burke,Dem,Jared T. Williams,Provisional Votes,0
13,33,Burke,Dem,Jared T. Williams,TOTAL VOTES,4986
13,33,Burke,I) (Rep,Natalie Paine,Absentee by Mail Votes,715
13,33,Burke,I) (Rep,Natalie Paine,Advanced Voting Votes,2833
13,33,Burke,I) (Rep,Natalie Paine,Election Day Votes,1934
13,33,Burke,I) (Rep,Natalie Paine,Provisional Votes,0
13,33,Burke,I) (Rep,Natalie Paine,TOTAL VOTES,5482
13,73,Columbia,Dem,Jared T. Williams,Absentee by Mail Votes,8351
13,73,Columbia,Dem,Jared T. Williams,Advanced Voting Votes,13692
13,73,Columbia,Dem,Jared T. Williams,Election Day Votes,4732
13,73,Columbia,Dem,Jared T. Williams,Provisional Votes,26
13,73,Columbia,Dem,Jared T. Williams,TOTAL VOTES,26801
13,73,Columbia,I) (Rep,Natalie Paine,Absentee by Mail Votes,7968
13,73,Columbia,I) (Rep,Natalie Paine,Advanced Voting Votes,30659
13,73,Columbia,I) (Rep,Natalie Paine,Election Day Votes,13797
13,73,Columbia,I) (Rep,Natalie Paine,Provisional Votes,45
13,73,Columbia,I) (Rep,Natalie Paine,TOTAL VOTES,52469
13,245,Richmond,Dem,Jared T. Williams,Absentee by Mail Votes,19914
13,245,Richmond,Dem,Jared T. Williams,Advanced Voting Votes,24876
13,245,Richmond,Dem,Jared T. Williams,Election Day Votes,11733
13,245,Richmond,Dem,Jared T. Williams,Provisional Votes,0
13,245,Richmond,Dem,Jared T. Williams,TOTAL VOTES,56523
13,245,Richmond,I) (Rep,Natalie Paine,Absentee by Mail Votes,7237
13,245,Richmond,I) (Rep,Natalie Paine,Advanced Voting Votes,12654
13,245,Richmond,I) (Rep,Natalie Paine,Election Day Votes,8703
13,245,Richmond,I) (Rep,Natalie Paine,Provisional Votes,0
13,245,Richmond,I) (Rep,Natalie Paine,TOTAL VOTES,28594
