StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,15,Bartow,I) (Rep,Rosemary M. Greene,Absentee by Mail Votes,7902
13,15,Bartow,I) (Rep,Rosemary M. Greene,Advanced Voting Votes,24058
13,15,Bartow,I) (Rep,Rosemary M. Greene,Election Day Votes,11338
13,15,Bartow,I) (Rep,Rosemary M. Greene,Provisional Votes,20
13,15,Bartow,I) (Rep,Rosemary M. Greene,TOTAL VOTES,43318
13,129,Gordon,I) (Rep,Rosemary M. Greene,Absentee by Mail Votes,3020
13,129,Gordon,I) (Rep,Rosemary M. Greene,Advanced Voting Votes,10441
13,129,Gordon,I) (Rep,Rosemary M. Greene,Election Day Votes,7273
13,129,Gordon,I) (Rep,Rosemary M. Greene,Provisional Votes,11
13,129,Gordon,I) (Rep,Rosemary M. Greene,TOTAL VOTES,20745
