StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,167,Johnson,Dem,Adriane Latrell Love,Absentee by Mail Votes,406
13,167,Johnson,Dem,Adriane Latrell Love,Advanced Voting Votes,658
13,167,Johnson,Dem,Adriane Latrell Love,Election Day Votes,277
13,167,Johnson,Dem,Adriane Latrell Love,Provisional Votes,0
13,167,Johnson,Dem,Adriane Latrell Love,TOTAL VOTES,1341
13,167,Johnson,I) (Rep,Craig Fraser,Absentee by Mail Votes,329
13,167,Johnson,I) (Rep,Craig Fraser,Advanced Voting Votes,1642
13,167,Johnson,I) (Rep,Craig Fraser,Election Day Votes,686
13,167,Johnson,I) (Rep,Craig Fraser,Provisional Votes,0
13,167,Johnson,I) (Rep,Craig Fraser,TOTAL VOTES,2657
13,175,Laurens,Dem,Adriane Latrell Love,Absentee by Mail Votes,2674
13,175,Laurens,Dem,Adriane Latrell Love,Advanced Voting Votes,3899
13,175,Laurens,Dem,Adriane Latrell Love,Election Day Votes,2437
13,175,Laurens,Dem,Adriane Latrell Love,Provisional Votes,4
13,175,Laurens,Dem,Adriane Latrell Love,TOTAL VOTES,9014
13,175,Laurens,I) (Rep,Craig Fraser,Absentee by Mail Votes,2355
13,175,Laurens,I) (Rep,Craig Fraser,Advanced Voting Votes,5937
13,175,Laurens,I) (Rep,Craig Fraser,Election Day Votes,5042
13,175,Laurens,I) (Rep,Craig Fraser,Provisional Votes,2
13,175,Laurens,I) (Rep,Craig Fraser,TOTAL VOTES,13336
13,283,Treutlen,Dem,Adriane Latrell Love,Absentee by Mail Votes,327
13,283,Treutlen,Dem,Adriane Latrell Love,Advanced Voting Votes,743
13,283,Treutlen,Dem,Adriane Latrell Love,Election Day Votes,205
13,283,Treutlen,Dem,Adriane Latrell Love,Provisional Votes,0
13,283,Treutlen,Dem,Adriane Latrell Love,TOTAL VOTES,1275
13,283,Treutlen,I) (Rep,Craig Fraser,Absentee by Mail Votes,249
13,283,Treutlen,I) (Rep,Craig Fraser,Advanced Voting Votes,1149
13,283,Treutlen,I) (Rep,Craig Fraser,Election Day Votes,330
13,283,Treutlen,I) (Rep,Craig Fraser,Provisional Votes,0
13,283,Treutlen,I) (Rep,Craig Fraser,TOTAL VOTES,1728
13,289,Twiggs,Dem,Adriane Latrell Love,Absentee by Mail Votes,695
13,289,Twiggs,Dem,Adriane Latrell Love,Advanced Voting Votes,885
13,289,Twiggs,Dem,Adriane Latrell Love,Election Day Votes,441
13,289,Twiggs,Dem,Adriane Latrell Love,Provisional Votes,3
13,289,Twiggs,Dem,Adriane Latrell Love,TOTAL VOTES,2024
13,289,Twiggs,I) (Rep,Craig Fraser,Absentee by Mail Votes,319
13,289,Twiggs,I) (Rep,Craig Fraser,Advanced Voting Votes,1157
13,289,Twiggs,I) (Rep,Craig Fraser,Election Day Votes,787
13,289,Twiggs,I) (Rep,Craig Fraser,Provisional Votes,1
13,289,Twiggs,I) (Rep,Craig Fraser,TOTAL VOTES,2264
