StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,51,Chatham,I) (Rep,Meg Daly Heap,Absentee by Mail Votes,16633
13,51,Chatham,I) (Rep,Meg Daly Heap,Advanced Voting Votes,25415
13,51,Chatham,I) (Rep,Meg Daly Heap,Election Day Votes,19534
13,51,Chatham,I) (Rep,Meg Daly Heap,Provisional Votes,100
13,51,Chatham,I) (Rep,Meg Daly Heap,TOTAL VOTES,61682
13,51,Chatham,Dem,Shalena Cook Jones,Absentee by Mail Votes,23883
13,51,Chatham,Dem,Shalena Cook Jones,Advanced Voting Votes,28273
13,51,Chatham,Dem,Shalena Cook Jones,Election Day Votes,16831
13,51,Chatham,Dem,Shalena Cook Jones,Provisional Votes,181
13,51,Chatham,Dem,Shalena Cook Jones,TOTAL VOTES,69168
