StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,135,Gwinnett,I) (Rep,Daniel J. ""Danny"" Porter,Absentee by Mail Votes,46855
13,135,Gwinnett,I) (Rep,Daniel J. ""Danny"" Porter,Advanced Voting Votes,94516
13,135,Gwinnett,I) (Rep,Daniel J. ""Danny"" Porter,Election Day Votes,36184
13,135,Gwinnett,I) (Rep,Daniel J. ""Danny"" Porter,Provisional Votes,245
13,135,Gwinnett,I) (Rep,Daniel J. ""Danny"" Porter,TOTAL VOTES,177800
13,135,Gwinnett,Dem,Patsy Austin-Gatson,Absentee by Mail Votes,73147
13,135,Gwinnett,Dem,Patsy Austin-Gatson,Advanced Voting Votes,118176
13,135,Gwinnett,Dem,Patsy Austin-Gatson,Election Day Votes,34472
13,135,Gwinnett,Dem,Patsy Austin-Gatson,Provisional Votes,382
13,135,Gwinnett,Dem,Patsy Austin-Gatson,TOTAL VOTES,226177
