StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,153,Houston,Dem,Erikka B. Williams,Absentee by Mail Votes,11689
13,153,Houston,Dem,Erikka B. Williams,Advanced Voting Votes,15965
13,153,Houston,Dem,Erikka B. Williams,Election Day Votes,7548
13,153,Houston,Dem,Erikka B. Williams,Provisional Votes,47
13,153,Houston,Dem,Erikka B. Williams,TOTAL VOTES,35249
13,153,Houston,I) (Rep,George Hartwig,Absentee by Mail Votes,8140
13,153,Houston,I) (Rep,George Hartwig,Advanced Voting Votes,19404
13,153,Houston,I) (Rep,George Hartwig,Election Day Votes,10479
13,153,Houston,I) (Rep,George Hartwig,Provisional Votes,44
13,153,Houston,I) (Rep,George Hartwig,TOTAL VOTES,38067
