StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,47,Catoosa,Rep,Chris A. Arnt,Absentee by Mail Votes,3723
13,47,Catoosa,Rep,Chris A. Arnt,Advanced Voting Votes,18477
13,47,Catoosa,Rep,Chris A. Arnt,Election Day Votes,5644
13,47,Catoosa,Rep,Chris A. Arnt,Provisional Votes,21
13,47,Catoosa,Rep,Chris A. Arnt,TOTAL VOTES,27865
13,55,Chattooga,Rep,Chris A. Arnt,Absentee by Mail Votes,1339
13,55,Chattooga,Rep,Chris A. Arnt,Advanced Voting Votes,4754
13,55,Chattooga,Rep,Chris A. Arnt,Election Day Votes,2607
13,55,Chattooga,Rep,Chris A. Arnt,Provisional Votes,6
13,55,Chattooga,Rep,Chris A. Arnt,TOTAL VOTES,8706
13,83,Dade,Rep,Chris A. Arnt,Absentee by Mail Votes,755
13,83,Dade,Rep,Chris A. Arnt,Advanced Voting Votes,3509
13,83,Dade,Rep,Chris A. Arnt,Election Day Votes,2066
13,83,Dade,Rep,Chris A. Arnt,Provisional Votes,5
13,83,Dade,Rep,Chris A. Arnt,TOTAL VOTES,6335
13,295,Walker,Rep,Chris A. Arnt,Absentee by Mail Votes,4288
13,295,Walker,Rep,Chris A. Arnt,Advanced Voting Votes,14942
13,295,Walker,Rep,Chris A. Arnt,Election Day Votes,5989
13,295,Walker,Rep,Chris A. Arnt,Provisional Votes,8
13,295,Walker,Rep,Chris A. Arnt,TOTAL VOTES,25227
