StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,105,Elbert,I) (Rep,Parks White,Absentee by Mail Votes,1448
13,105,Elbert,I) (Rep,Parks White,Advanced Voting Votes,3861
13,105,Elbert,I) (Rep,Parks White,Election Day Votes,1985
13,105,Elbert,I) (Rep,Parks White,Provisional Votes,0
13,105,Elbert,I) (Rep,Parks White,TOTAL VOTES,7294
13,119,Franklin,I) (Rep,Parks White,Absentee by Mail Votes,1646
13,119,Franklin,I) (Rep,Parks White,Advanced Voting Votes,5627
13,119,Franklin,I) (Rep,Parks White,Election Day Votes,2449
13,119,Franklin,I) (Rep,Parks White,Provisional Votes,1
13,119,Franklin,I) (Rep,Parks White,TOTAL VOTES,9723
13,147,Hart,I) (Rep,Parks White,Absentee by Mail Votes,1888
13,147,Hart,I) (Rep,Parks White,Advanced Voting Votes,6189
13,147,Hart,I) (Rep,Parks White,Election Day Votes,2579
13,147,Hart,I) (Rep,Parks White,Provisional Votes,3
13,147,Hart,I) (Rep,Parks White,TOTAL VOTES,10659
13,195,Madison,I) (Rep,Parks White,Absentee by Mail Votes,2189
13,195,Madison,I) (Rep,Parks White,Advanced Voting Votes,6681
13,195,Madison,I) (Rep,Parks White,Election Day Votes,3906
13,195,Madison,I) (Rep,Parks White,Provisional Votes,3
13,195,Madison,I) (Rep,Parks White,TOTAL VOTES,12779
13,221,Oglethorpe,I) (Rep,Parks White,Absentee by Mail Votes,1219
13,221,Oglethorpe,I) (Rep,Parks White,Advanced Voting Votes,4004
13,221,Oglethorpe,I) (Rep,Parks White,Election Day Votes,1250
13,221,Oglethorpe,I) (Rep,Parks White,Provisional Votes,2
13,221,Oglethorpe,I) (Rep,Parks White,TOTAL VOTES,6475
