StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,23,Bleckley,I) (Rep,Timothy G. Vaughn,Absentee by Mail Votes,755
13,23,Bleckley,I) (Rep,Timothy G. Vaughn,Advanced Voting Votes,2991
13,23,Bleckley,I) (Rep,Timothy G. Vaughn,Election Day Votes,1107
13,23,Bleckley,I) (Rep,Timothy G. Vaughn,Provisional Votes,1
13,23,Bleckley,I) (Rep,Timothy G. Vaughn,TOTAL VOTES,4854
13,91,Dodge,I) (Rep,Timothy G. Vaughn,Absentee by Mail Votes,917
13,91,Dodge,I) (Rep,Timothy G. Vaughn,Advanced Voting Votes,3030
13,91,Dodge,I) (Rep,Timothy G. Vaughn,Election Day Votes,2385
13,91,Dodge,I) (Rep,Timothy G. Vaughn,Provisional Votes,5
13,91,Dodge,I) (Rep,Timothy G. Vaughn,TOTAL VOTES,6337
13,209,Montgomery,I) (Rep,Timothy G. Vaughn,Absentee by Mail Votes,469
13,209,Montgomery,I) (Rep,Timothy G. Vaughn,Advanced Voting Votes,1603
13,209,Montgomery,I) (Rep,Timothy G. Vaughn,Election Day Votes,1186
13,209,Montgomery,I) (Rep,Timothy G. Vaughn,Provisional Votes,0
13,209,Montgomery,I) (Rep,Timothy G. Vaughn,TOTAL VOTES,3258
13,235,Pulaski,I) (Rep,Timothy G. Vaughn,Absentee by Mail Votes,422
13,235,Pulaski,I) (Rep,Timothy G. Vaughn,Advanced Voting Votes,2425
13,235,Pulaski,I) (Rep,Timothy G. Vaughn,Election Day Votes,404
13,235,Pulaski,I) (Rep,Timothy G. Vaughn,Provisional Votes,1
13,235,Pulaski,I) (Rep,Timothy G. Vaughn,TOTAL VOTES,3252
13,271,Telfair,I) (Rep,Timothy G. Vaughn,Absentee by Mail Votes,479
13,271,Telfair,I) (Rep,Timothy G. Vaughn,Advanced Voting Votes,1614
13,271,Telfair,I) (Rep,Timothy G. Vaughn,Election Day Votes,994
13,271,Telfair,I) (Rep,Timothy G. Vaughn,Provisional Votes,5
13,271,Telfair,I) (Rep,Timothy G. Vaughn,TOTAL VOTES,3092
13,309,Wheeler,I) (Rep,Timothy G. Vaughn,Absentee by Mail Votes,247
13,309,Wheeler,I) (Rep,Timothy G. Vaughn,Advanced Voting Votes,1021
13,309,Wheeler,I) (Rep,Timothy G. Vaughn,Election Day Votes,535
13,309,Wheeler,I) (Rep,Timothy G. Vaughn,Provisional Votes,0
13,309,Wheeler,I) (Rep,Timothy G. Vaughn,TOTAL VOTES,1803
