StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,11,Banks,I) (Rep,Brad Smith,Absentee by Mail Votes,1115
13,11,Banks,I) (Rep,Brad Smith,Advanced Voting Votes,5196
13,11,Banks,I) (Rep,Brad Smith,Election Day Votes,1706
13,11,Banks,I) (Rep,Brad Smith,Provisional Votes,11
13,11,Banks,I) (Rep,Brad Smith,TOTAL VOTES,8028
13,13,Barrow,I) (Rep,Brad Smith,Absentee by Mail Votes,5657
13,13,Barrow,I) (Rep,Brad Smith,Advanced Voting Votes,19325
13,13,Barrow,I) (Rep,Brad Smith,Election Day Votes,6954
13,13,Barrow,I) (Rep,Brad Smith,Provisional Votes,4
13,13,Barrow,I) (Rep,Brad Smith,TOTAL VOTES,31940
13,157,Jackson,I) (Rep,Brad Smith,Absentee by Mail Votes,5623
13,157,Jackson,I) (Rep,Brad Smith,Advanced Voting Votes,22045
13,157,Jackson,I) (Rep,Brad Smith,Election Day Votes,5637
13,157,Jackson,I) (Rep,Brad Smith,Provisional Votes,6
13,157,Jackson,I) (Rep,Brad Smith,TOTAL VOTES,33311
