StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,7,Baker,I) (Rep,Joe Mulholland,Absentee by Mail Votes,250
13,7,Baker,I) (Rep,Joe Mulholland,Advanced Voting Votes,551
13,7,Baker,I) (Rep,Joe Mulholland,Election Day Votes,324
13,7,Baker,I) (Rep,Joe Mulholland,Provisional Votes,2
13,7,Baker,I) (Rep,Joe Mulholland,TOTAL VOTES,1127
13,37,Calhoun,I) (Rep,Joe Mulholland,Absentee by Mail Votes,376
13,37,Calhoun,I) (Rep,Joe Mulholland,Advanced Voting Votes,757
13,37,Calhoun,I) (Rep,Joe Mulholland,Election Day Votes,475
13,37,Calhoun,I) (Rep,Joe Mulholland,Provisional Votes,0
13,37,Calhoun,I) (Rep,Joe Mulholland,TOTAL VOTES,1608
13,87,Decatur,I) (Rep,Joe Mulholland,Absentee by Mail Votes,1537
13,87,Decatur,I) (Rep,Joe Mulholland,Advanced Voting Votes,5535
13,87,Decatur,I) (Rep,Joe Mulholland,Election Day Votes,1867
13,87,Decatur,I) (Rep,Joe Mulholland,Provisional Votes,11
13,87,Decatur,I) (Rep,Joe Mulholland,TOTAL VOTES,8950
13,131,Grady,I) (Rep,Joe Mulholland,Absentee by Mail Votes,1571
13,131,Grady,I) (Rep,Joe Mulholland,Advanced Voting Votes,4709
13,131,Grady,I) (Rep,Joe Mulholland,Election Day Votes,2348
13,131,Grady,I) (Rep,Joe Mulholland,Provisional Votes,0
13,131,Grady,I) (Rep,Joe Mulholland,TOTAL VOTES,8628
13,205,Mitchell,I) (Rep,Joe Mulholland,Absentee by Mail Votes,1352
13,205,Mitchell,I) (Rep,Joe Mulholland,Advanced Voting Votes,3522
13,205,Mitchell,I) (Rep,Joe Mulholland,Election Day Votes,1987
13,205,Mitchell,I) (Rep,Joe Mulholland,Provisional Votes,6
13,205,Mitchell,I) (Rep,Joe Mulholland,TOTAL VOTES,6867
