StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,177,Lee,I) (Ind,Lewis R. Lamb,Absentee by Mail Votes,1873
13,177,Lee,I) (Ind,Lewis R. Lamb,Advanced Voting Votes,8803
13,177,Lee,I) (Ind,Lewis R. Lamb,Election Day Votes,3487
13,177,Lee,I) (Ind,Lewis R. Lamb,Provisional Votes,6
13,177,Lee,I) (Ind,Lewis R. Lamb,TOTAL VOTES,14169
13,193,Macon,I) (Ind,Lewis R. Lamb,Absentee by Mail Votes,564
13,193,Macon,I) (Ind,Lewis R. Lamb,Advanced Voting Votes,1711
13,193,Macon,I) (Ind,Lewis R. Lamb,Election Day Votes,735
13,193,Macon,I) (Ind,Lewis R. Lamb,Provisional Votes,0
13,193,Macon,I) (Ind,Lewis R. Lamb,TOTAL VOTES,3010
13,249,Schley,I) (Ind,Lewis R. Lamb,Absentee by Mail Votes,221
13,249,Schley,I) (Ind,Lewis R. Lamb,Advanced Voting Votes,1210
13,249,Schley,I) (Ind,Lewis R. Lamb,Election Day Votes,310
13,249,Schley,I) (Ind,Lewis R. Lamb,Provisional Votes,1
13,249,Schley,I) (Ind,Lewis R. Lamb,TOTAL VOTES,1742
13,259,Stewart,I) (Ind,Lewis R. Lamb,Absentee by Mail Votes,264
13,259,Stewart,I) (Ind,Lewis R. Lamb,Advanced Voting Votes,646
13,259,Stewart,I) (Ind,Lewis R. Lamb,Election Day Votes,352
13,259,Stewart,I) (Ind,Lewis R. Lamb,Provisional Votes,7
13,259,Stewart,I) (Ind,Lewis R. Lamb,TOTAL VOTES,1269
13,261,Sumter,I) (Ind,Lewis R. Lamb,Absentee by Mail Votes,2130
13,261,Sumter,I) (Ind,Lewis R. Lamb,Advanced Voting Votes,5329
13,261,Sumter,I) (Ind,Lewis R. Lamb,Election Day Votes,2111
13,261,Sumter,I) (Ind,Lewis R. Lamb,Provisional Votes,14
13,261,Sumter,I) (Ind,Lewis R. Lamb,TOTAL VOTES,9584
13,307,Webster,I) (Ind,Lewis R. Lamb,Absentee by Mail Votes,244
13,307,Webster,I) (Ind,Lewis R. Lamb,Advanced Voting Votes,544
13,307,Webster,I) (Ind,Lewis R. Lamb,Election Day Votes,221
13,307,Webster,I) (Ind,Lewis R. Lamb,Provisional Votes,0
13,307,Webster,I) (Ind,Lewis R. Lamb,TOTAL VOTES,1009
