StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,125,Glascock,I) (Dem,Bill Doupe,Absentee by Mail Votes,116
13,125,Glascock,I) (Dem,Bill Doupe,Advanced Voting Votes,420
13,125,Glascock,I) (Dem,Bill Doupe,Election Day Votes,274
13,125,Glascock,I) (Dem,Bill Doupe,Provisional Votes,0
13,125,Glascock,I) (Dem,Bill Doupe,TOTAL VOTES,810
13,181,Lincoln,I) (Dem,Bill Doupe,Absentee by Mail Votes,763
13,181,Lincoln,I) (Dem,Bill Doupe,Advanced Voting Votes,1607
13,181,Lincoln,I) (Dem,Bill Doupe,Election Day Votes,824
13,181,Lincoln,I) (Dem,Bill Doupe,Provisional Votes,0
13,181,Lincoln,I) (Dem,Bill Doupe,TOTAL VOTES,3194
13,189,McDuffie,I) (Dem,Bill Doupe,Absentee by Mail Votes,2068
13,189,McDuffie,I) (Dem,Bill Doupe,Advanced Voting Votes,5226
13,189,McDuffie,I) (Dem,Bill Doupe,Election Day Votes,1193
13,189,McDuffie,I) (Dem,Bill Doupe,Provisional Votes,0
13,189,McDuffie,I) (Dem,Bill Doupe,TOTAL VOTES,8487
13,265,Taliaferro,I) (Dem,Bill Doupe,Absentee by Mail Votes,223
13,265,Taliaferro,I) (Dem,Bill Doupe,Advanced Voting Votes,298
13,265,Taliaferro,I) (Dem,Bill Doupe,Election Day Votes,151
13,265,Taliaferro,I) (Dem,Bill Doupe,Provisional Votes,0
13,265,Taliaferro,I) (Dem,Bill Doupe,TOTAL VOTES,672
13,301,Warren,I) (Dem,Bill Doupe,Absentee by Mail Votes,654
13,301,Warren,I) (Dem,Bill Doupe,Advanced Voting Votes,1109
13,301,Warren,I) (Dem,Bill Doupe,Election Day Votes,403
13,301,Warren,I) (Dem,Bill Doupe,Provisional Votes,0
13,301,Warren,I) (Dem,Bill Doupe,TOTAL VOTES,2166
13,317,Wilkes,I) (Dem,Bill Doupe,Absentee by Mail Votes,1013
13,317,Wilkes,I) (Dem,Bill Doupe,Advanced Voting Votes,2042
13,317,Wilkes,I) (Dem,Bill Doupe,Election Day Votes,988
13,317,Wilkes,I) (Dem,Bill Doupe,Provisional Votes,7
13,317,Wilkes,I) (Dem,Bill Doupe,TOTAL VOTES,4050
