StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,35,Butts,I) (Rep,Jonathan L. Adams,Absentee by Mail Votes,1520
13,35,Butts,I) (Rep,Jonathan L. Adams,Advanced Voting Votes,7299
13,35,Butts,I) (Rep,Jonathan L. Adams,Election Day Votes,1029
13,35,Butts,I) (Rep,Jonathan L. Adams,Provisional Votes,3
13,35,Butts,I) (Rep,Jonathan L. Adams,TOTAL VOTES,9851
13,171,Lamar,I) (Rep,Jonathan L. Adams,Absentee by Mail Votes,1267
13,171,Lamar,I) (Rep,Jonathan L. Adams,Advanced Voting Votes,4356
13,171,Lamar,I) (Rep,Jonathan L. Adams,Election Day Votes,2021
13,171,Lamar,I) (Rep,Jonathan L. Adams,Provisional Votes,7
13,171,Lamar,I) (Rep,Jonathan L. Adams,TOTAL VOTES,7651
13,207,Monroe,I) (Rep,Jonathan L. Adams,Absentee by Mail Votes,1663
13,207,Monroe,I) (Rep,Jonathan L. Adams,Advanced Voting Votes,7949
13,207,Monroe,I) (Rep,Jonathan L. Adams,Election Day Votes,3443
13,207,Monroe,I) (Rep,Jonathan L. Adams,Provisional Votes,7
13,207,Monroe,I) (Rep,Jonathan L. Adams,TOTAL VOTES,13062
