StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,135,Gwinnett,Rep,Carol Field,Absentee by Mail Votes,2532
13,135,Gwinnett,Rep,Carol Field,Advanced Voting Votes,4869
13,135,Gwinnett,Rep,Carol Field,Election Day Votes,2309
13,135,Gwinnett,Rep,Carol Field,Provisional Votes,3
13,135,Gwinnett,Rep,Carol Field,TOTAL VOTES,9713
13,135,Gwinnett,I) (Dem,Sam Park,Absentee by Mail Votes,5435
13,135,Gwinnett,I) (Dem,Sam Park,Advanced Voting Votes,7772
13,135,Gwinnett,I) (Dem,Sam Park,Election Day Votes,2725
13,135,Gwinnett,I) (Dem,Sam Park,Provisional Votes,9
13,135,Gwinnett,I) (Dem,Sam Park,TOTAL VOTES,15941
