StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,145,Harris,I) (Rep,Vance Smith, Jr.,Absentee by Mail Votes,1668
13,145,Harris,I) (Rep,Vance Smith, Jr.,Advanced Voting Votes,4428
13,145,Harris,I) (Rep,Vance Smith, Jr.,Election Day Votes,3831
13,145,Harris,I) (Rep,Vance Smith, Jr.,Provisional Votes,14
13,145,Harris,I) (Rep,Vance Smith, Jr.,TOTAL VOTES,9941
13,215,Muscogee,I) (Rep,Vance Smith, Jr.,Absentee by Mail Votes,1477
13,215,Muscogee,I) (Rep,Vance Smith, Jr.,Advanced Voting Votes,3503
13,215,Muscogee,I) (Rep,Vance Smith, Jr.,Election Day Votes,956
13,215,Muscogee,I) (Rep,Vance Smith, Jr.,Provisional Votes,9
13,215,Muscogee,I) (Rep,Vance Smith, Jr.,TOTAL VOTES,5945
13,285,Troup,I) (Rep,Vance Smith, Jr.,Absentee by Mail Votes,1661
13,285,Troup,I) (Rep,Vance Smith, Jr.,Advanced Voting Votes,4858
13,285,Troup,I) (Rep,Vance Smith, Jr.,Election Day Votes,2664
13,285,Troup,I) (Rep,Vance Smith, Jr.,Provisional Votes,16
13,285,Troup,I) (Rep,Vance Smith, Jr.,TOTAL VOTES,9199
