StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,85,Dawson,I) (Rep,David Ralston,Absentee by Mail Votes,348
13,85,Dawson,I) (Rep,David Ralston,Advanced Voting Votes,915
13,85,Dawson,I) (Rep,David Ralston,Election Day Votes,400
13,85,Dawson,I) (Rep,David Ralston,Provisional Votes,0
13,85,Dawson,I) (Rep,David Ralston,TOTAL VOTES,1663
13,85,Dawson,Dem,Rick D. Day,Absentee by Mail Votes,216
13,85,Dawson,Dem,Rick D. Day,Advanced Voting Votes,191
13,85,Dawson,Dem,Rick D. Day,Election Day Votes,33
13,85,Dawson,Dem,Rick D. Day,Provisional Votes,0
13,85,Dawson,Dem,Rick D. Day,TOTAL VOTES,440
13,111,Fannin,I) (Rep,David Ralston,Absentee by Mail Votes,2334
13,111,Fannin,I) (Rep,David Ralston,Advanced Voting Votes,5667
13,111,Fannin,I) (Rep,David Ralston,Election Day Votes,4028
13,111,Fannin,I) (Rep,David Ralston,Provisional Votes,17
13,111,Fannin,I) (Rep,David Ralston,TOTAL VOTES,12046
13,111,Fannin,Dem,Rick D. Day,Absentee by Mail Votes,960
13,111,Fannin,Dem,Rick D. Day,Advanced Voting Votes,899
13,111,Fannin,Dem,Rick D. Day,Election Day Votes,387
13,111,Fannin,Dem,Rick D. Day,Provisional Votes,3
13,111,Fannin,Dem,Rick D. Day,TOTAL VOTES,2249
13,123,Gilmer,I) (Rep,David Ralston,Absentee by Mail Votes,2275
13,123,Gilmer,I) (Rep,David Ralston,Advanced Voting Votes,6796
13,123,Gilmer,I) (Rep,David Ralston,Election Day Votes,4282
13,123,Gilmer,I) (Rep,David Ralston,Provisional Votes,12
13,123,Gilmer,I) (Rep,David Ralston,TOTAL VOTES,13365
13,123,Gilmer,Dem,Rick D. Day,Absentee by Mail Votes,1066
13,123,Gilmer,Dem,Rick D. Day,Advanced Voting Votes,1073
13,123,Gilmer,Dem,Rick D. Day,Election Day Votes,427
13,123,Gilmer,Dem,Rick D. Day,Provisional Votes,0
13,123,Gilmer,Dem,Rick D. Day,TOTAL VOTES,2566
